PolicyReplicaVM Mode;getMaxSmartThings;Total consumido Coudlets;Coudlets averageEnergyHistoryDevice;Total consumido AP(AP DEVICES);AP DEVICES averageEnergyHistoryDevice;SmartThing(0) Power;SmartThing(1) Power;SmartThing(2) Power;SmartThing(3) Power;SmartThing(4) Power;SmartThing(5) Power;SmartThing(6) Power;SmartThing(7) Power;SmartThing(8) Power;SmartThing(9) Power;SmartThing(0) Energy Consumed;SmartThing(1) Energy Consumed;SmartThing(2) Energy Consumed;SmartThing(3) Energy Consumed;SmartThing(4) Energy Consumed;SmartThing(5) Energy Consumed;SmartThing(6) Energy Consumed;SmartThing(7) Energy Consumed;SmartThing(8) Energy Consumed;SmartThing(9) Energy Consumed;VM data transferred in migration;getVMTransferredData / CloudSim.clock;Device's network usage;deviceNetworkUsage / CloudSim.clock;Migration' network usage (total);Migration' network usage (mean);getNetWorkUsageInMigration / CloudSim.clock;Total network usage;getNetworkUsage() / CloudSim.clock;CloudSim.clock;Total of migrations;Total of handoff;Different Cloudlets reached along the user's path;Average of without connection;Average of without Vm;Average of delay after new Connectionl;Average of Time of Migrations;Hightest Time of Migrations;Average of Downtime;Max Downtime;Tuple lost;Tuple lost;Total tuple;
MIGRATION_COMPLETE_VM;8;4.385064015641488E10;3.045183344195478E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;0;2.8451326089199144E8;5.810852209179279E7;5.0760634984924234E7;2.402963859603771E8;2.4955924481855318E8;1.5190042209995762E8;1.2391928378230968E7;1.0898930394336829E7;0;0;2432.0;6.714522363335174E-4;1.78794078E8;49.363356709000556;2.617119036094287E10;2.0131684893032978E9;7225.618542502173;2.634998443894287E10;7274.981899211174;3622000.0;13;48;48;1065.053042118314;432332.94426933065;454241.14832461404;100192.22588183814;102270.04293594167;100192.22588183814;609680.3136597114;11.862998985784735%;686130;5783782;
LIVE_MIGRATION_POSTCOPY;8;4.440583043016151E10;3.083738224316771E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;0;3.014012824417497E8;5.8315426955680095E7;5.5576936322765954E7;2.613913607561828E8;2.501636350398423E8;1.7559268276383343E8;2.3090988404548343E7;3.3236309929303788E7;0;0;3200.0;8.83489784649365E-4;4.04577558E8;111.70004362230812;3.476230810566104E10;2.044841653274179E9;9597.545031932921;3.516688566366104E10;9709.245075555229;3622000.0;17;48;48;1065.053042118314;327917.4617825694;483432.3544192962;129232.36955513219;132948.992489283;19384.855433269822;118814.57719763127;0.05981731468757578%;5735;9587525;
LIVE_MIGRATION_PRECOPY;8;4.432794192159348E10;3.0783293001106584E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;0;2.9998687527331924E8;5.82869342983294E7;5.555814596879266E7;2.6080510733744338E8;2.5001583365681204E8;1.755423274190304E8;2.309271184548242E7;3.3239332263361134E7;0;0;3200.0;8.83489784649365E-4;4.02322128E8;111.0773406957482;3.6538015749947105E10;2.149295044114536E9;10087.80114576121;3.6940337877947105E10;10198.878486456959;3622000.0;17;48;47;1066.6671273479349;312581.52652261034;471589.58057574223;198460.63389620467;204533.50781971755;9923.031694810235;60923.36696695685;0.05877043076933398%;5607;9540512;
LIVE_MIGRATION_MIRROR;8;4.429684472045874E10;3.076169772254079E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;0;2.994181153640942E8;5.8265710136483885E7;5.5437018998060934E7;2.604970350043753E8;2.499400996981259E8;1.7556990794390005E8;2.30783271549323E7;3.3280739225057937E7;0;0;3200.0;8.83489784649365E-4;4.01580372E8;110.87254886802872;4.688444176387888E10;2.757908339051699E9;12944.351674179703;4.728602213587888E10;13055.224223047731;3622000.0;17;48;48;1065.053042118314;297920.04591672117;495351.09151084843;258460.55353487463;265891.66381723294;3155.5899386100605;20061.737285116673;0.05614382112111839%;5461;9726805;
MIGRATION_COMPLETE_VM;9;4.385202505408202E10;3.045279517644585E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;2.845681419365275E8;5.826639769761942E7;5.281908847463584E7;2.400622436096931E8;2.4942954922492087E8;1.5178825222739613E8;1.2466793241920086E7;1.099364804509041E7;1.532171972096466E8;0;2944.0;8.128106018774158E-4;1.83768942E8;50.736869685256764;3.1698645618319904E10;1.8646262128423474E9;8751.696747189371;3.1882414560319904E10;8802.433616874629;3622000.0;17;58;57;1066.5914494491972;432164.3135764018;488453.28825502854;100029.17485506418;102269.95616302297;100029.17485506418;710272.7756078204;13.844642652981367%;859762;6210070;
LIVE_MIGRATION_POSTCOPY;9;4.450258764089129E10;3.090457475061895E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;3.0033598709209514E8;5.8955916505051814E7;5.615472635273755E7;2.6096268719160455E8;2.505405049520611E8;1.7602870147743216E8;2.3428014193812918E7;3.356056609385331E7;1.5377322811469075E8;0;3712.0;0.0010248481501932633;4.55171442E8;125.6685372722253;4.034765100755447E10;2.0173825503777232E9;11139.60546867876;4.080282244955447E10;11265.274005950985;3622000.0;20;58;57;1060.6138139194547;327861.6316878491;471757.41148366535;128716.43787271998;132948.9057163643;19307.465680907997;138401.1942646796;0.06331415497659268%;6832;10790636;
LIVE_MIGRATION_PRECOPY;9;4.4504826451700676E10;3.090612948034769E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;3.0026628800121593E8;5.905967146605114E7;5.611178004568002E7;2.6091989937009627E8;2.5049813643543732E8;1.7597973885948342E8;2.342337154910372E7;3.355508606438574E7;1.537360392386249E8;0;3712.0;0.0010248481501932633;4.53421644E8;125.18543456653782;4.236818362612332E10;2.0175325536249201E9;11697.455446196389;4.282160527012332E10;11822.640880762927;3622000.0;21;58;57;1060.6138139194547;312009.406965589;463489.3760151623;197910.0852747528;204533.42104679885;9895.504263737643;70931.92839196225;0.0627464675306746%;6763;10778296;
LIVE_MIGRATION_MIRROR;9;4.452069805422228E10;3.0917151426543254E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;3.000438257527213E8;5.879692880927751E7;5.5769512383163266E7;2.607876331449955E8;2.5032159406006026E8;1.757788808697292E8;2.3188604584277336E7;3.3567495807352714E7;1.5387162780522624E8;0;3712.0;0.0010248481501932633;4.60012494E8;127.00510601877416;5.45013724718294E10;2.595303451039495E9;15047.314321322308;5.49613849658294E10;15174.319427341083;3622000.0;21;58;57;1060.6138139194547;293846.96514760563;459602.96047002857;257077.7439268189;265891.57704431424;3170.948562717084;24279.714533558334;0.062441692904000645%;6813;10910979;
MIGRATION_COMPLETE_VM;10;4.387887748350122E10;3.0471442696875846E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;2.8386936910992014E8;5.807352651517551E7;5.056387502354749E7;2.4010760327869004E8;2.4938857930644777E8;1.5165580246624863E8;1.2386917005652556E7;1.0987385266899168E7;1.5309036794065213E8;1.4485591883511907E8;3200.0;8.83489784649365E-4;2.23429818E8;61.68686305908338;3.456749782836943E10;1.920416546020524E9;9543.75975382922;3.479092764636943E10;9605.446616888303;3622000.0;18;65;64;1043.6283521158293;431672.998181259;450753.39163168427;99544.92844422121;102270.49757859514;99544.92844422121;806902.316962501;12.701796244321953%;919072;7235764;
LIVE_MIGRATION_POSTCOPY;10;4.460087874631397E10;3.0972832462718034E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;3.054763148259098E8;5.927192032378525E7;5.596485394595485E7;2.6460255819458047E8;2.5465420403090325E8;1.8013167866017446E8;2.328694365173661E7;3.356784010672498E7;1.5723816601474178E8;1.590983912730316E8;4096.0;0.0011308669243511873;5.99482248E8;165.51138818332413;4.462892874729305E10;2.0285876703315024E9;12321.62582752431;4.522841099529305E10;12487.137215707635;3622000.0;22;65;63;1047.0587696045718;328706.1893386691;456559.83218962577;128290.77124256306;132949.44713193647;19243.61568638446;157311.73081889786;0.06294055791120529%;9080;14426310;
